year,edition,award,sponsor,winner,amount_or_benefit,confidence
2006,2,Birincilik Odulu,Elginkan Vakfi / YFYI,PALMAX (Oyna ve Ogren),50000 YTL + 3yr office,R
2006,2,Juri Ozel Odulu,YFYI,Kopru (Hayati Yeniden Okumak),10000 YTL,R
2007,3,Birincilik Odulu,Elginkan Vakfi,JeoTim (PetCed),50000 TL,C
2008,4,Teknoloji Odulu,Elginkan Vakfi,Biyonesil,75000 TL,C
2008,4,Ozel Odul,Savunma Sanayii Mustesarligi,Biyonesil,50000 TL,C
2008,4,Company rights in ODTU TEKNOKENT,ODTU TEKNOKENT,Biyonesil,3 years,C
2009,5,Teknoloji Odulu,Elginkan Vakfi,Garajsoft,75000 TL,C
2010,6,Buyuk Odul,Elginkan Vakfi,KURUP,75000 TL + 3yr office,C
2010,6,Odul,Savunma Sanayii Mustesarligi,KURUP,,C
2011,7,Teknoloji Odulu (1st),Elginkan Vakfi,Kaleidoscope (Kapileroskop),75000 TL + 3yr office,C
2011,7,Buyuk Odul,Turk Telekom,Kaleidoscope,50000 TL,C
2011,7,Savunma Sanayi Buyuk Odulu,SSM,Heavy Science (YEF),,C
2011,7,Savunma 2nd,SSM,Nanosis (Mobial),10000 TL,C
2011,7,Bilisim/Telekom 2nd,Turk Telekom,Powermems,,C
2011,7,Ozel Odul,Intel,Powermems,25000 TL,C
2011,7,Ozel Odul,OSTIM,Ultravision (Ultralight),25000 TL,C
2012,8,Buyuk Odul,Elginkan Vakfi,Isirgan (Dentofast),100000 TL,C
2012,8,Buyuk Odul,Savunma Sanayii Mustesarligi,TIM (Ari Gozu),75000 TL,C
2012,8,Ozel Odul,DenizBank,TIM (Ari Gozu),25000 TL,C
2012,8,Ozel Odul,Aselsan,TIM (Ari Gozu),25000 TL,C
2012,8,Buyuk Odul,Turk Telekom,Javatar,75000 TL,C
2012,8,Ikincilik,SSM,Algi,10000 TL,C
2012,8,Ikincilik,Turk Telekom,PragmaCraft,10000 TL,C
2012,8,Ozel Odul,Intel,PragmaCraft,25000 TL,C
2012,8,Ozel Odul,OSTIM,OE,25000 TL,C
