year,edition,format,final_or_demoday_date,venue,applications,cohort_size,finalists_or_pitchers,key_delivery_partners,notes
2005,1,idea competition,,ODTU,195,,,Elginkan Vakfi,"First edition; 3 companies founded"
2006,2,idea competition,2006-11-11,ODTU Culture and Congress Centre,,,4,Elginkan Vakfi,"Winner PALMAX / Oyna ve Ogren; 50k YTL + 3yr office; jury special Kopru"
2007,3,idea competition,2007-11-17,ODTU,,,4,Elginkan Vakfi,"Winner JeoTim; 50k TL"
2008,4,idea competition,2008-11-15,ODTU,,,4,Elginkan Vakfi;SSM,"Winner Biyonesil; 75k TL + 3yr office"
2009,5,idea competition,2009-11-14,ODTU,300,,6,Elginkan Vakfi,"Winner Garajsoft"
2010,6,idea competition,2010-11-27,ODTU,,,5,Elginkan Vakfi;SSM,"Winner KURUP"
2011,7,idea competition,2011-11-19,ODTU Kultur ve Kongre Merkezi,500,,7,Elginkan Vakfi;Turk Telekom;Intel;OSTIM;SSM,"Winner Kaleidoscope"
2012,8,idea competition,2012-11-24,ODTU Kultur ve Kongre Merkezi,,,,Elginkan Vakfi;SSM;Turk Telekom;DenizBank;Aselsan;Intel;OSTIM,"Grand prize rises to 100k TL; 20 companies founded in first 7 years"
2013,9,idea competition,2013-11-09,ODTU Kultur ve Kongre Merkezi,1071 entrepreneurs / 777 ideas,30 trained,11,Elginkan Vakfi;SSM;Turkcell;OSTIM;DenizBank;Aselsan;Calik YEDAS,"541 passed stage 1; ~100h training; 1.5M TL total support"
2014,10,competition (5 categories),2014-11-08,ODTU Kemal Kurdas Salonu,1353 ideas,47 final stage,21,Teknopark Istanbul;TEB;GE;Arcelik;Microsoft;Aselsan;OSTIM;YEDAS,"~2M TL total; US Camp prizes introduced"
2015,11,IDEA + PRO split,2015-12,ODTU Kemal Kurdas Salonu,1243 entrepreneurs / 1353 ideas,,23,Teknopark Istanbul;Intel;Arcelik;YEDAS;TEB;Microsoft;IBM;ISSD;OSTIM;T-Jump,"IDEA 10 + PRO 13; 2-week US Camp at T-Jump SF"
2016,12,acceleration program (T-IDEA/T-START/T-BOOST),2016-10-15,ODTU Kemal Kurdas Salonu,3500+ (org) / 1500+ (press),,20+,String Ventures;T-Jump;Arcelik;Microsoft;TEB;OSTIM;Onedio;BEAM,"10 award categories; 4-week US Camp; renamed acceleration program"
2017,13,global accelerator,2017-10-14,ODTU Kultur ve Kongre Merkezi,400+,50 pre-accelerator,22,UC Berkeley IAG;Draper University;T-JUMP;Growth Circuit;Onedio;KocSistem;TEB;ASO;OSTIM;IE Business School;Btech,"7 teams to Draper; Growth Circuit invested in 7; 6874 public voters; MC Metin Uca"
2018,14,global accelerator,2018-10-06,ODTU Kultur ve Kongre Merkezi,,55 teams,21-22,Growth Circuit;UC Berkeley IAG;Draper University;Elginkan;ELDER;Tupras;TEB;Onedio;KocSistem;OSTIM,"1000+ hours training; ~1500 attendees; 4 teams took GC investment"
2019,15,Inspiration Weekend + Demo Day,2019-11-02,Sapanca,,,24,Elginkan;Onedio;OSTIM;Ostim Teknopark;PTT;PTTAVM;Tupras;ELDER;TEB;KocSistem,"Applications 5-22 Aug; 2-day residential format"
2020,16,online,2021-04-02,online / ODTU KKM livestream,,40 admitted / 27 completed,19,Startup Wise Guys;Elginkan;Onedio;KocSistem;OSTIM;TEB,"10 weeks training; ODTU TEKNOKENT Internationalisation Award introduced"
2021,17,acceleration program,,,,,,Elginkan;ODTU70 GSYF,"Grand prize split: Biopols + Ddosify"
2022,18,acceleration program,2022-12,ODTU TEKNOKENT,,,,Elginkan;Onedio;KocSistem;VLMedia;PTT AVM;OSTIM;TEB,"$6M fund with Turkiye Kalkinma Fonu announced"
2023,19,acceleration program (#Fascinate),2023-12-07,Ankara,,,,Elginkan;OSTIM;OSTIM GSYF;Ostim Teknopark,"Carbon capture, satellite solar, edtech, AI, IoT, new materials"
2024,20,acceleration program (#TakeMyBreathAway),2024-12-04,ODTU Culture and Congress Centre,,,24,Elginkan;Invest101;VLMedia;Onedio;Btech;Bites;Techventure;TEB;OSTIM;OSTIM GSYF;Ostim Teknopark;ODTU TEKNOKENT,"Elginkan Grand Prize Raw Banana Studio; YFYI entrepreneurs also on Take Off stage"
2025,21,acceleration program (+ KALTEV edition),2025-12-17,,,,10,Elginkan;ODTU70 GSYF;Growth Circuit;Collective Spark;KALTEV,"Parallel KALTEV YFYI at ODTU Northern Cyprus Campus"
