startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
Notrino - Curalive - Çağrı Asistanım,"2019, 2021",Active,,"Deeptech, Artificial intelligence, Healthtech",,notrino.com,TRUE,ODTÜ TEKNOKENT,Ça??n Polat,,,2019
Btech,"2014, 2015",Active,,"3D Printing, Industry40, Healthtech",,btech.com.tr,TRUE,ODTÜ TEKNOKENT,"Kuntay Akta?, Murat E?ri",General Electric ABD Kamp? Özel Ödülü; TEB ABD Kamp? Özel Ödülü,50000,2014
Agentscope AI,2024,Active,150000,"Artificial intelligence (AI), Big Data, Digital transformation",AI integration into business processes with no-code solutions,agentscope.com,TRUE,ODTÜ TEKNOKENT,Ali Yamuç,Techventure Yat?r?m Ödülü,,2024
Viseur AI,2024,Active,126550,"Artificial intelligence (AI), Healthtech",Deep learning for efficiency in medical image diagnosis,viseur.ai,TRUE,Ankara Teknokent,Serkan Sökmen,TEB Özel Ödülü,100000,2024
ADIM,2024,Active,,Edtech,3D simulations for interactive learning in education,adim.tech,TRUE,Bilkent Cyberpark,Batuhan Budak,,,2024
Agada,2024,Out of Business,,"E-commerce, Marketing tech, Artificial Intelligence (AI)","AI-powered gamification, loyalty, and referral solutions for customer engagement",agada.tech,TRUE,İstanbul,Bulent Akar,Invest101 Özel Ödülü,,2024
Alter,2024,Active,,Healthtech,A therapeutic composition for bone osseointegration and healing,,TRUE,Ankara,Aylin Sepici Dinçel,BiTES Özel Ödülü,75000,2024
APPITECH,2024,Active,,Artificial intelligence (AI),AI-driven mobile applications for advanced functionality,appitech.co,TRUE,İstanbul,AL? Demircan,,,2024
Black Paw,2024,Active,,"Artificial intelligence (AI), Edtech, Virtual reality (VR) - Augmented reality (AR)","Spectre, an AR-based 3D veterinary anatomy learning app for accessible education",blackpawtech.com,TRUE,İstanbul,Asl?han Demirsoy,,,2024
Datablast,2024,Active,,"Artificial intelligence (AI), Big Data, Cloudtech and DevOps",A data platform for mobile app and game developers to manage data independently,datablast.io,TRUE,İstanbul,Ozan Arslano?lu,VLMedia Özel Ödülü,75000,2024
EGN Power,2024,Active,,"Artificial intelligence (AI), Digital transformation, Energy",AI-driven asset management for renewable power plants,,FALSE,İstanbul,Mehmet Ali ?enel,,,2024
EntoCeres,2024,Active,,"Agritech, Sustainability",High-quality medicinal plants for sustainable essential oil extraction,,FALSE,Ankara,Özgün K?rdar,,,2024
