startup,cohort_year,status,what_changed,current_identity,evidence,evidence_type
V-Count,2005,ACTIVE,,V-Count,"LinkedIn 43331 followers; AI visitor analytics; offices Miami/Dubai/London/Hong Kong/Brussels; 100+ countries; now a YFYI sponsor",linkedin
Mobilus (RotaMobil),2005,CHANGED,team moved to a new product via Teknojumpp,Invidyo,"invidyo.com live; retail via E-Bebek/Babymall; 60 Toys R Us Canada; Amazon",website
Kade Vision,2005,UNVERIFIED,,,"Only record is 10000 TL YFYI seed",none
PALMAX,2006,UNVERIFIED,,,"2006 first-prize winner; no current public operating signal checked",none
RIMS,2006,UNVERIFIED,,,"2006 finalist; no current public operating signal checked",none
ANKA,2006,UNVERIFIED,,,"2006 finalist; no current public operating signal checked",none
Kopru,2006,UNVERIFIED,,,"2006 jury special award; no current public operating signal checked",none
ISSD,2010,ACTIVE,,ISSD,"issd.com.tr live: since 2009 at ODTU Teknokent; 20+ countries, 80+ cities, 5000+ points; now a YFYI sponsor",website
Alictus,2013,CHANGED,acquired,SciPlay Games Turkey,"alictus.com redirects to sciplaygamesturkey.com; LinkedIn 15839 followers states 'Formerly Alictus, we are now SciPlay'",website+linkedin
Prz Biyoteknoloji,2013,UNVERIFIED,,,,none
Lazersan Elektronik,2013,UNVERIFIED,,,"2013 SSM Grand Prize + Turkcell 2nd Place; no current public operating signal checked",none
Biomechanics,2013,UNVERIFIED,,,"2013 Turkcell Grand Prize; no current public operating signal checked",none
Turkish Airlines,2013,UNVERIFIED,,,"2013 OSTIM Special Award row may be translation artefact; no current public operating signal checked",none
Orion,2013,UNVERIFIED,,,"2013 DenizBank Special Award + SSM 2nd Place; no current public operating signal checked",none
Easy Guitar,2013,UNVERIFIED,,,"2013 Aselsan Special Award; no current public operating signal checked",none
Functional Surfaces,2013,UNVERIFIED,,,"2013 Calik YEDAS Special Award; no current public operating signal checked",none
Deeblab,2013,UNVERIFIED,,,"2013 Calik YEDAS Special Award; no current public operating signal checked",none
Z5 Team,2013,UNVERIFIED,,,"2013 OSTIM Special Jury Award; no current public operating signal checked",none
2C,2014,UNVERIFIED,,,,none
Capres,2015,UNVERIFIED,,,,none
Biyocip,2015,PASSIVE,,,"No domain, no trace since 2015 despite winning Elginkan Grand Prize",none
Vivosens,2015,ACTIVE,,Vivosens,"LinkedIn active, 1167 followers",linkedin
Engelsiz Inovasyon Takimi,2015,UNVERIFIED,,,,none
The Light,2015,UNVERIFIED,,,"Name collision with unrelated thelight.com/thelight.net",none
SmartGel,2015,UNVERIFIED,,,,none
Kovan,2015,UNVERIFIED,,,"Name collision with kovan.io SaaS studio and kovan.com Korea VAN",none
Footballpreneurs,2015,UNVERIFIED,,,,none
Rocketscience,2015,UNVERIFIED,,,"Name collision with Russian and Brazilian firms",none
GEEN,2015,PASSIVE,,,"geenbio.com taken over by unrelated gambling site",domain
SciRobot,2015,ACTIVE,,sciRobot,"LinkedIn active, 157 followers; care-home activity platform",linkedin
MACHINA,2015,PASSIVE,,,"machinarobotics.com parked; name collisions elsewhere",domain
Gelecek Robotik,2015,UNVERIFIED,,,,none
Arbatros Bilisim,2015,UNVERIFIED,,,,none
Sotek,2015,UNVERIFIED,,,"Name collision with 3 unrelated Sotek companies",none
Pa_o,2015,UNVERIFIED,,,,none
GDS,2015,UNVERIFIED,,,"Name collision with 4 unrelated GDS companies",none
Btech,2015,ACTIVE,,BTECH Innovation,"btech.com.tr live; medical and industrial advanced engineering; became a YFYI sponsor",website
Inofab,2015,ACTIVE,,Inofab Health,"inofab.health live; world's first personal ultrasonic spirometer; EUR220K 2017 + EUR1.1M 2018",website
Enwair,2015,ACTIVE,,Enwair Enerji,"enwair.com live; silicon anodes for Li-ion batteries; matches original pitch",website
Ekosist,2015,UNVERIFIED,,,,none
Hidroturbin,2015,ACTIVE,,Hidroturbin Teknoloji Enerji San. ve Tic. Ltd. Sti.,"LinkedIn active, 292 followers",linkedin
Isiteks,2016,CHANGED,product line of a differently-named company,Nanovatif Malzeme Teknolojileri,"Isiteks is the wearable-heater product of Nanovatif, founded 2017 at ODTU Teknokent by Prof. Dr. Emrah Unalan, Dr. Sahin Coskun, Doga Doganay; Spinoff Prize winner",press+website
Talassa,2016,PASSIVE,,,"No site; talassa.ai is unrelated Italian yacht AI",none
Wmedya Interactive,2016,PASSIVE,,,"No site for Wmedya or Ondestek",none
Indisera,2016,CHANGED,repositioned,Indisera,"indisera.com live as 'AI-Powered Digital Solutions & SaaS Development' - different from 2016 entry; corporate continuity not fully documented",website
Otsimo,2016,ACTIVE,,Otsimo,"otsimo.com live; LinkedIn 9705 followers; special education and speech therapy apps for autism",website+linkedin
Deplike,2016,ACTIVE,,Deplike,"LinkedIn 3815 followers; 216 Capital investment Nov 2025; Chordie AI; preparing Series A",press+linkedin
Planote,2016,PASSIVE,,,"planote.com listed for sale; LinkedIn stalled at 16 followers",domain
Momentum,2016,ACTIVE,,Momentum Teknoloji A.S.,"momentum.com.tr live",website
GBlock,2016,PASSIVE,,,"No site; LinkedIn stalled at 6 followers",none
Temperfect,2016,PASSIVE,,,"temperfect.com listed for sale",domain
Matmas,2016,PASSIVE,,,"No site, no trace",none
Buyan,2017,PASSIVE,,,"No domain, no trace since 2017 despite winning Elginkan Grand Prize",none
Restearn,2017,PASSIVE,,,"restearn.com returns an empty response",domain
iCaked,2017,PASSIVE,,,"icaked.com parked (lander redirect)",domain
Peerket,2017,PASSIVE,,,"No domain resolves",none
Seyisco,2017,CHANGED,pivoted,Seyis,"seyis.co now 'Akilli Sarf Malzeme Yonetimi' (smart consumables management) - was pothole/road-damage detection; LinkedIn 351 followers still shows old positioning",website
Trendoline,2017,ACTIVE,,Trendoline,"trendoline.com live - video challenge app",website
Comind,2017,ACTIVE,,Comind,"comind.com.tr live",website
Webgazer,2017,ACTIVE,,WebGazer,"Ankara, founded 2015 by Gokhan Sari and Muharrem Altan Akdogan; Tracxn records 3 employees as of Apr 2026",database
3D3 Teknoloji,2017,ACTIVE,,3D3 Teknoloji,"3d3teknoloji.com live; 3D printing/scanning/filament, Ankara",website
Mikro Biyosistemler,2017,ACTIVE,,Mikro Biyosistemler Inc.,"mikrobiyo.com.tr live; ODTU spin-off 2015; investors include European Union / EIC Fund and Diffusion Capital Partners",website+database
Pyronome,2017,ACTIVE,,Pyronome,"pyronome.com live",website
Kuantek Elektronik Bilisim,2017,ACTIVE,,KuanTek Elektronik A.S.,"Corporate profile active (AI, FPGA, image and signal processing); no recent press",database
AllEars / Drive Buddy,2017,UNVERIFIED,,,"drivebuddy.co is an unrelated car-frame retailer; allears.* are unrelated",none
DijiFi / Dijifin,2017,UNVERIFIED,,,"dijifi.com is an unrelated US photo digitisation service",none
IMERA,2017,UNVERIFIED,,,"imera.ai medical imaging may or may not be the same entity; imera.com.tr is for sale",none
Gauss Istatistik Ar-Ge,2017,PASSIVE,,,"gaussdata.com listed for sale",domain
Mavilab Yazilim,2017,ACTIVE,,Mavi Laboratuvarlar Grubu,"mavilab.com.tr live",website
Niceveri Ar-Ge,2017,UNVERIFIED,,,,none
Burkut,2017,ACTIVE,,Burkut,"burkut.com.tr and burkut.tech live (water technology + web automation platform)",website
Bzzify Yazilim,2017,UNVERIFIED,,,,none
EYESOFT Bilisim,2017,ACTIVE,,Eyesoft,"eyesoft.com.tr live",website
MASA,2017,UNVERIFIED,,,"Heavy name collision",none
Lingo,2017,UNVERIFIED,,,"Name collision with lingo.com US telecoms and lingo.com.tr translation agency",none
