year,edition,track_or_category,startup,description,outcome
2005,1,,V-Count,Retail people counting and in-store analytics,"9th in Turkey Top 100 new-gen companies 2018; exports to 100+ countries; offices Miami/Dubai/London/Hong Kong/Brussels; later a YFYI sponsor"
2005,1,,Mobilus (RotaMobil),Mobile routing,"Team later ran Invidyo via Teknojumpp"
2005,1,,Kade Vision,,"Received 10000 TL seed from YFYI"
2006,2,,PALMAX,Oyna ve Ogren augmented-reality physics learning system,"1st prize; 50000 YTL founding capital + 3yr ODTU TEKNOKENT office"
2006,2,,RIMS,Dual SIM card mobile phone,Finalist
2006,2,,ANKA,Presentation Tool,Finalist
2006,2,,Kopru,Hayati Yeniden Okumak,"Jury Special Award; 10000 YTL"
2010,6,,ISSD,Intelligent transport; Dynamic Junction Control System CHAOS,"1st in two categories 2010; Intertraffic Best Project 2012; 35M TL projected revenue 2019; later a YFYI sponsor"
2013,9,,Alictus,Hyper-casual games with own analytics and publishing tools,"10M+ monthly players; 99% revenue from exports"
2013,9,,Prz Biyoteknoloji,9-antibody-panel cancer diagnostic kit,Elginkan Grand Prize
2013,9,,Lazersan Elektronik,Free Space Optics wireless data communication,SSM Grand Prize + Turkcell 2nd Place
2013,9,,Biomechanics,CT/ultrasound-based hemodynamic analysis,Turkcell Grand Prize
2013,9,,Turkish Airlines,Real-time shock and vibration control,OSTIM Special Award
2013,9,,Orion,Air-flow damping systems,DenizBank Special Award + SSM 2nd Place
2013,9,,Easy Guitar,LED/LCD/sensor-supported guitar learning system,Aselsan Special Award
2013,9,,Functional Surfaces,Liquid-retaining/non-retaining/self-cleaning coatings,Calik YEDAS Special Award
2013,9,,Deeblab,Sign-language glove for public communication,Calik YEDAS Special Award
2013,9,,Z5 Team,Non-invasive blood glucose measurement,OSTIM Special Jury Award
2014,10,Genel,2C,AFB KIT - American Foulbrood diagnostic/treatment kit for bees,Elginkan Grand Prize + OSTIM US Camp
2015,11,IDEA,Capres,Cancer treatment personalisation drug-sensitivity test kit,
2015,11,IDEA,Biyocip,GlucoKnow continuous glucose monitoring patch,Elginkan Grand Prize
2015,11,IDEA,Vivosens,Portable on-site medical testing device,
2015,11,IDEA,Engelsiz Inovasyon Takimi,Station - hearing aid with wearable communication,IBM Bluemix + public vote 1st
2015,11,IDEA,The Light,Amorphous silicon nitride diodes replacing LED/OLED,OSTIM US Camp + public vote 2nd
2015,11,IDEA,SmartGel,Wound healing acceleration gel,
2015,11,IDEA,Kovan,Bio-based explosive and narcotic detection using honeybees,ISSD US Camp
2015,11,IDEA,Footballpreneurs,12th Man - gamified social fan engagement,Microsoft Azure + public vote 3rd
2015,11,IDEA,Rocketscience,Cloud-based website-specific search engine,IBM Bluemix
2015,11,IDEA,GEEN,Genetic engineering platform / programmable cellular OS,
2015,11,PRO Computing,SciRobot,GoLiveIt dementia care activity robot,Intel Grand Prize + Microsoft Azure
2015,11,PRO Computing / DMTE,MACHINA,Robogame real-world gaming with robotics,Arcelik Grand Prize
2015,11,PRO Computing,Gelecek Robotik,SmartBlock children robotics education kit,
2015,11,PRO Computing,Arbatros Bilisim,Jani smart keyless lock,
2015,11,PRO DMTE,Sotek,Domestic enzyme production for cleaning products,
2015,11,PRO DMTE,Pa_o,Posture-correcting wearable,
2015,11,PRO Health,GDS,MORRS rehabilitation exoskeleton,
